trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
60,False,"{'a': 0.4038069876177639, 'e': 0.6999999999999997}",25,0,-75.923708030572,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
61,False,"{'a': 0.39774988280349743, 'e': 0.6949999999999997}",30,10,-42.30465770763039,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
62,False,"{'a': 0.391783634561445, 'e': 0.6899999999999997}",25,0,-148.72314127239505,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
63,False,"{'a': 0.3859068800430233, 'e': 0.6849999999999997}",20,3,13.265325982402908,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.380118276842378, 'e': 0.6799999999999997}",35,0,-168.61513432219945,"{0: 27, 1: 0, 2: 4, 3: 0, 4: 4}",0
65,False,"{'a': 0.3744165026897423, 'e': 0.6749999999999997}",25,0,-70.00781901554025,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
66,False,"{'a': 0.3688002551493962, 'e': 0.6699999999999997}",20,0,-3.0675860589610324,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
67,False,"{'a': 0.36326825132215523, 'e': 0.6649999999999997}",25,0,-92.9401554501658,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
68,False,"{'a': 0.3578192275523229, 'e': 0.6599999999999997}",20,0,-101.58399707208807,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
69,False,"{'a': 0.35245193913903805, 'e': 0.6549999999999997}",30,0,-123.70504953734508,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
70,False,"{'a': 0.34716516005195247, 'e': 0.6499999999999997}",20,0,-42.34811012733286,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
71,False,"{'a': 0.34195768265117316, 'e': 0.6449999999999997}",20,2,-60.44046126779745,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
72,False,"{'a': 0.33682831741140556, 'e': 0.6399999999999997}",25,0,-73.8076758425803,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
73,False,"{'a': 0.3317758926502345, 'e': 0.6349999999999997}",20,0,-46.37866497286515,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
74,False,"{'a': 0.32679925426048095, 'e': 0.6299999999999997}",20,0,-42.525134231890114,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
75,False,"{'a': 0.3218972654465737, 'e': 0.6249999999999997}",20,3,-1.8781017861646538,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.3170688064648751, 'e': 0.6199999999999997}",30,0,-14.242458898225916,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
